Chr,Start,End,Conc,Conc_mPSkd,Conc_none,Fold,p-value,FDR,capC_mPS_LOF_st8p_1,capC_mPS_LOF_st8p_2,capC_mPS_LOF_st8p_3,capC_ctrl_st8p_1,capC_ctrl_st8p_2,capC_ctrl_st8p_3
scaffold_5,16032521,16033721,-0.35,-0.69,-0.07,-0.62,0.673,0.999,0.38,0.48,1,0.58,1.26,1.02
scaffold_1,89481469,89482669,1.03,0.71,1.28,-0.57,0.673,0.999,1.53,2.39,1,1.44,1.26,4.58
scaffold_1,61641735,61642935,1.35,1.12,1.55,-0.43,0.674,0.999,3.07,1.43,2,2.89,2.32,3.56
scaffold_3,23681220,23682420,-0.07,-0.42,0.21,-0.62,0.674,0.999,0.77,0.48,1,2.02,0.42,1.02
scaffold_1,96494657,96495857,1.34,1.56,1.09,0.47,0.677,0.999,1.92,1.91,5,1.73,2.11,2.54
scaffold_1,61461061,61462261,0.99,0.75,1.19,-0.43,0.684,0.999,1.15,1.91,2,1.15,2.11,3.56
scaffold_2,66171749,66172949,0.24,0.47,-0.03,0.5,0.684,0.999,2.68,0.48,1,0.87,1.05,1.02
scaffold_5,13086718,13087918,0.57,0.26,0.83,-0.57,0.686,0.999,1.15,1.43,1,1.44,0.84,3.05
scaffold_5,107185698,107186898,-0.34,-0.69,-0.06,-0.62,0.691,0.999,0.38,0.48,1,0.29,1.05,1.53
scaffold_514,29922,31122,0.2,-0.07,0.43,-0.5,0.693,0.999,0.38,0.48,2,0.58,0.42,3.05
scaffold_3,19693978,19695178,-0.37,-0.69,-0.11,-0.58,0.697,0.999,0.38,0.48,1,0.29,1.47,1.02
scaffold_1,110949485,110952816,-0.39,-0.69,-0.14,-0.55,0.699,0.999,0.38,0.48,1,1.15,1.05,0.51
scaffold_5,10697142,10698342,6.9,6.82,6.98,-0.17,0.7,0.999,88.52,71.26,178,94.68,87.4,197.92
scaffold_6,50122083,50123283,0.17,-0.14,0.42,-0.56,0.702,0.999,0.77,0.96,1,0.29,1.68,2.04
scaffold_1,92514970,92516170,0.14,-0.14,0.37,-0.51,0.713,0.999,0.77,0.96,1,0.87,1.47,1.53
scaffold_1,110627940,110629140,-0.09,-0.42,0.17,-0.59,0.713,0.999,0.77,0.48,1,0.29,1.05,2.04
scaffold_2,10692873,10695229,-0.19,0.09,-0.54,0.64,0.714,0.999,0.77,1.43,1,0.29,1.26,0.51
scaffold_9,21410400,21411600,-0.14,0.14,-0.49,0.62,0.714,0.999,0.38,1.91,1,0.58,1.05,0.51
scaffold_9,55070326,55071526,1.8,1.96,1.63,0.32,0.718,0.999,2.3,3.35,6,3.46,1.26,4.58
scaffold_9,20849186,20850386,2.71,2.6,2.8,-0.2,0.724,0.999,6.9,3.35,8,6.35,5.9,8.65
scaffold_5,8340997,8342750,0.52,0.26,0.75,-0.49,0.727,0.999,1.15,1.43,1,1.44,1.05,2.54
scaffold_6,57157885,57159085,0.12,-0.14,0.35,-0.49,0.732,0.999,0.77,0.96,1,1.44,0.84,1.53
scaffold_5,103626903,103628103,0.94,0.75,1.11,-0.35,0.733,0.999,1.15,1.91,2,1.73,1.68,3.05
scaffold_5,73331320,73333706,0.38,0.57,0.16,0.41,0.736,0.999,1.53,1.91,1,0.87,1.47,1.02
scaffold_5,10437503,10438703,1.56,1.71,1.39,0.32,0.737,0.999,1.53,4.3,4,2.31,2.53,3.05
scaffold_2,66909651,66910851,1.45,1.57,1.31,0.26,0.737,0.999,3.07,2.87,3,0.87,2.53,4.07
scaffold_9,57769671,57770871,0.85,1.08,0.58,0.5,0.738,0.999,0.38,0.96,5,0.58,0.84,3.05
scaffold_2,98915985,98917185,-0.01,0.27,-0.35,0.63,0.738,0.999,1.15,0.48,2,0.58,1.26,0.51
scaffold_8,82825883,82827083,1.12,1.27,0.96,0.31,0.738,0.999,2.3,1.91,3,0.58,1.68,3.56
scaffold_3,42479251,42482729,0.77,1,0.5,0.51,0.739,0.999,1.53,0.48,4,1.44,1.26,1.53
scaffold_5,30731307,30732507,-0.15,-0.42,0.08,-0.5,0.74,0.999,0.77,0.48,1,1.73,0.42,1.02
scaffold_7,54823419,54825130,-0.43,-0.69,-0.22,-0.47,0.741,0.999,0.38,0.48,1,1.44,0.63,0.51
scaffold_6,62159782,62160982,0.75,0.54,0.93,-0.4,0.741,0.999,1.92,1.43,1,2.6,2.11,1.02
scaffold_7,32076800,32078000,-0.4,-0.69,-0.17,-0.52,0.741,0.999,0.38,0.48,1,1.44,0.21,1.02
scaffold_8,9182221,9183421,-0.4,-0.69,-0.17,-0.52,0.741,0.999,0.38,0.48,1,1.44,0.21,1.02
scaffold_1,95635890,95637090,0.48,0.31,0.64,-0.33,0.743,0.999,0.77,0.96,2,1.15,1.47,2.04
scaffold_3,36349227,36350427,-0.02,0.18,-0.25,0.43,0.744,0.999,1.92,0.48,1,0.87,0.63,1.02
scaffold_2,65178254,65179454,0.56,0.79,0.29,0.5,0.746,0.999,0.77,1.43,3,2.02,0.63,1.02
scaffold_6,60479727,60481719,1.96,1.76,2.13,-0.37,0.752,0.999,5.37,3.83,1,3.75,3.79,5.6
scaffold_1,202969298,202970498,-0.11,-0.42,0.15,-0.57,0.752,0.999,0.77,0.48,1,0.58,0.21,2.54
scaffold_2,70276351,70277551,-0.44,-0.69,-0.22,-0.47,0.754,0.999,0.38,0.48,1,0.29,1.26,1.02
scaffold_6,61555099,61556299,-0.17,-0.42,0.04,-0.46,0.754,0.999,0.77,0.48,1,1.44,0.63,1.02
scaffold_1,51255773,51256973,-0.2,-0.42,-0.01,-0.41,0.759,0.999,0.77,0.48,1,0.58,1.9,0.51
scaffold_6,97199228,97201537,1.87,1.69,2.03,-0.34,0.759,0.999,3.83,3.83,2,2.02,3.58,6.61
scaffold_6,50820747,50821947,1.2,1.05,1.34,-0.29,0.76,0.999,2.3,1.91,2,3.46,2.11,2.04
scaffold_9,57771653,57772853,0.26,0.11,0.39,-0.28,0.766,0.999,0.77,0.48,2,1.15,1.26,1.53
scaffold_3,88174611,88176611,-0.21,0.01,-0.47,0.48,0.766,0.999,1.53,0.48,1,1.44,0.21,0.51
scaffold_5,2273818,2275018,4.18,4.23,4.13,0.1,0.767,0.999,19.54,16.74,20,15.01,14.53,22.9
scaffold_5,11303447,11304647,0.03,-0.19,0.23,-0.42,0.768,0.999,1.15,0.48,1,1.44,1.05,1.02
scaffold_2,70941070,70942270,0.48,0.63,0.31,0.32,0.768,0.999,2.68,0.96,1,1.44,1.26,1.02
scaffold_1,86392848,86394048,-0.13,-0.36,0.07,-0.43,0.769,0.999,0.38,0.96,1,0.58,1.05,1.53
scaffold_5,4495863,4497063,0.97,1.13,0.77,0.36,0.769,0.999,1.15,1.43,4,1.44,0.63,3.05
scaffold_1,62000123,62001323,1.17,1.29,1.05,0.24,0.769,0.999,3.45,2.87,1,1.73,2.95,1.53
scaffold_6,51761352,51762552,0.06,-0.07,0.19,-0.25,0.77,0.999,0.38,0.48,2,0.29,2.11,1.02
scaffold_6,94265314,94266514,-0.11,0.09,-0.35,0.44,0.771,0.999,0.77,1.43,1,0.29,1.05,1.02
scaffold_6,97848292,97849492,0.53,0.33,0.71,-0.38,0.774,0.999,2.3,0.48,1,1.15,2.74,1.02
scaffold_1,62917687,62918887,-0.19,-0.42,0.01,-0.43,0.774,0.999,0.77,0.48,1,2.31,0.21,0.51
scaffold_6,60130392,60131592,2.92,3,2.83,0.17,0.775,0.999,7.28,5.74,11,4.91,5.27,11.19
scaffold_1039,-166,1948,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_2,54242276,54245954,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_2,80908664,80909864,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_5,8765499,8766699,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_6,38076431,38077631,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_6,68231468,68232668,-0.48,-0.69,-0.31,-0.38,0.777,0.999,0.38,0.48,1,0.87,1.05,0.51
scaffold_9,57819031,57820231,0.88,0.63,1.1,-0.47,0.778,0.999,2.68,0.96,1,0.58,1.26,4.58
scaffold_1,89817924,89819124,0.09,-0.14,0.29,-0.43,0.781,0.999,0.77,0.96,1,0.58,1.05,2.04
scaffold_5,103664928,103666128,1.07,1.24,0.88,0.35,0.782,0.999,1.15,1.91,4,1.73,1.26,2.54
scaffold_3,34450516,34452510,0.61,0.77,0.44,0.33,0.783,0.999,0.77,3.35,1,1.15,1.9,1.02
scaffold_6,49724278,49726442,0.48,0.35,0.59,-0.24,0.784,0.999,0.38,1.43,2,1.73,1.26,1.53
scaffold_5,68885692,68886892,0.08,-0.14,0.26,-0.4,0.785,0.999,0.77,0.96,1,1.44,0.63,1.53
scaffold_1,63439576,63440776,-0.21,-0.42,-0.03,-0.39,0.787,0.999,0.77,0.48,1,0.87,1.05,1.02
scaffold_9,20827356,20828556,3.2,3.28,3.11,0.17,0.788,0.999,8.43,6.7,14,8.37,6.32,11.19
scaffold_9,23601477,23602677,0.01,0.18,-0.18,0.36,0.789,0.999,1.92,0.48,1,0.58,1.05,1.02
scaffold_2,149597748,149598948,-0.48,-0.69,-0.29,-0.4,0.79,0.999,0.38,0.48,1,1.73,0.21,0.51
scaffold_9,34847279,34848479,-0.48,-0.69,-0.29,-0.4,0.79,0.999,0.38,0.48,1,1.73,0.21,0.51
scaffold_2,94270125,94271325,-0.15,-0.36,0.04,-0.4,0.79,0.999,0.38,0.96,1,0.29,1.26,1.53
scaffold_5,79668097,79669297,-0.42,-0.19,-0.7,0.51,0.791,0.999,1.15,0.48,1,0.29,1.05,0.51
scaffold_5,117932555,117933755,-0.42,-0.19,-0.7,0.51,0.791,0.999,1.15,0.48,1,0.29,1.05,0.51
scaffold_7,68332623,68333823,-0.42,-0.19,-0.7,0.51,0.791,0.999,1.15,0.48,1,0.29,1.05,0.51
scaffold_8,98416389,98417589,-0.42,-0.19,-0.7,0.51,0.791,0.999,1.15,0.48,1,0.29,1.05,0.51
scaffold_3,20948181,20949381,0.84,0.92,0.75,0.18,0.792,0.999,2.3,2.39,1,1.44,1.05,2.54
scaffold_3,19692689,19693889,0.28,0.05,0.48,-0.43,0.792,0.999,1.15,0.96,1,0.58,1.05,2.54
scaffold_2,65197083,65199337,0.27,0.15,0.37,-0.22,0.795,0.999,0.38,0.96,2,2.02,0.84,1.02
scaffold_5,107187632,107189464,0.21,0.42,-0.04,0.45,0.797,0.999,1.53,0.48,2,1.15,1.26,0.51
scaffold_1,95268390,95269590,-0.35,-0.07,-0.7,0.63,0.797,0.999,0.38,0.48,2,0.29,1.05,0.51
scaffold_1,86925646,86926846,-0.51,-0.69,-0.35,-0.34,0.798,0.999,0.38,0.48,1,0.58,1.26,0.51
scaffold_3,23163181,23164381,-0.51,-0.69,-0.35,-0.34,0.798,0.999,0.38,0.48,1,0.58,1.26,0.51
scaffold_3,78562294,78563494,-0.51,-0.69,-0.35,-0.34,0.798,0.999,0.38,0.48,1,0.58,1.26,0.51
scaffold_5,15987464,15988664,-0.51,-0.69,-0.35,-0.34,0.798,0.999,0.38,0.48,1,0.58,1.26,0.51
scaffold_7,113199569,113201341,-0.51,-0.69,-0.35,-0.34,0.798,0.999,0.38,0.48,1,0.58,1.26,0.51
scaffold_3,21657563,21658763,0.02,-0.19,0.2,-0.39,0.799,0.999,1.15,0.48,1,0.87,1.05,1.53
scaffold_5,68903975,68905175,1.17,1.08,1.25,-0.17,0.8,0.999,0.38,0.96,5,0.58,1.47,5.09
scaffold_5,8764099,8765299,0.1,0.36,-0.22,0.58,0.802,0.999,0.38,0.48,3,1.44,0.63,0.51
scaffold_1,135544480,135545680,-0.5,-0.69,-0.34,-0.35,0.804,0.999,0.38,0.48,1,1.44,0.42,0.51
scaffold_3,66423218,66425485,-0.5,-0.69,-0.34,-0.35,0.804,0.999,0.38,0.48,1,1.44,0.42,0.51
scaffold_3,84889721,84890921,-0.5,-0.69,-0.34,-0.35,0.804,0.999,0.38,0.48,1,1.44,0.42,0.51
scaffold_3,92432461,92435202,-0.5,-0.69,-0.34,-0.35,0.804,0.999,0.38,0.48,1,1.44,0.42,0.51
scaffold_3,102962423,102963623,-0.5,-0.69,-0.34,-0.35,0.804,0.999,0.38,0.48,1,1.44,0.42,0.51
scaffold_6,97617578,97618778,0.43,0.26,0.59,-0.34,0.804,0.999,1.15,1.43,1,1.73,1.26,1.53
scaffold_9,56848354,56849554,1.14,1.29,0.97,0.32,0.806,0.999,3.83,0.48,3,3.46,1.9,0.51
scaffold_6,97445534,97446734,5.25,5.21,5.29,-0.08,0.807,0.999,34.11,30.13,47,34.06,30.12,53.42
scaffold_6,97518199,97520274,0.88,0.71,1.02,-0.31,0.808,0.999,1.53,2.39,1,1.73,2.32,2.04
scaffold_9,7305201,7306401,0.04,-0.14,0.21,-0.35,0.811,0.999,0.77,0.96,1,2.02,0.42,1.02
scaffold_6,56684096,56685296,0.26,0.42,0.07,0.35,0.813,0.999,1.53,0.48,2,0.58,1.05,1.53
scaffold_6,60717231,60718431,0.25,0.09,0.39,-0.3,0.813,0.999,0.77,1.43,1,1.44,1.47,1.02
scaffold_1,92619586,92620786,-0.23,-0.42,-0.06,-0.36,0.813,0.999,0.77,0.48,1,1.44,0.42,1.02
scaffold_6,56157661,56158861,-0.23,-0.42,-0.06,-0.36,0.813,0.999,0.77,0.48,1,1.44,0.42,1.02
scaffold_2,77140549,77141749,-0.21,-0.36,-0.07,-0.28,0.815,0.999,0.38,0.96,1,0.87,1.47,0.51
scaffold_3,76027978,76029178,-0.51,-0.69,-0.35,-0.34,0.815,0.999,0.38,0.48,1,0.29,1.05,1.02
scaffold_6,57156574,57157774,0.44,0.61,0.25,0.36,0.815,0.999,1.15,1.43,2,0.87,1.68,1.02
scaffold_2,69567657,69568857,0.1,0.31,-0.14,0.45,0.817,0.999,0.77,0.96,2,1.15,1.05,0.51
scaffold_6,57927442,57928642,0.39,0.18,0.57,-0.39,0.817,0.999,1.92,0.48,1,0.87,1.05,2.54
scaffold_1,97042090,97043290,-0.54,-0.69,-0.4,-0.29,0.822,0.999,0.38,0.48,1,0.29,1.47,0.51
scaffold_7,21472390,21473590,2.17,2.24,2.09,0.14,0.823,0.999,5.37,4.78,4,4.62,4.63,3.56
scaffold_3,59763248,59764448,0.46,0.7,0.17,0.53,0.823,0.999,0.38,0.48,4,2.02,0.84,0.51
scaffold_2,91829946,91831839,0.27,0.11,0.41,-0.29,0.824,0.999,0.77,0.48,2,0.29,0.63,3.05
scaffold_7,54927596,54929504,0.28,0.37,0.18,0.19,0.826,0.999,1.92,0.96,1,1.15,0.21,2.04
scaffold_8,83094606,83095806,5.83,5.79,5.87,-0.08,0.826,0.999,50.59,41.61,74,48.21,41.07,85.99
scaffold_3,71937495,71940617,0.18,0.11,0.25,-0.13,0.828,0.999,0.77,0.48,2,1.15,1.9,0.51
scaffold_5,2280234,2282037,4.04,3.99,4.1,-0.12,0.828,0.999,17.25,16.26,14,17.03,14.11,20.35
scaffold_3,54612506,54614291,-0.28,-0.42,-0.16,-0.26,0.836,0.999,0.77,0.48,1,0.29,1.9,0.51
scaffold_2,70366778,70367978,2.28,2.2,2.36,-0.17,0.838,0.999,3.45,4.3,6,2.6,3.16,9.67
scaffold_8,82688379,82689579,0.24,0.15,0.32,-0.16,0.839,0.999,0.38,0.96,2,1.15,1.05,1.53
scaffold_3,20025804,20027004,-0.33,-0.14,-0.54,0.4,0.839,0.999,0.77,0.96,1,0.29,1.26,0.51
scaffold_6,62426788,62427988,-0.33,-0.14,-0.54,0.4,0.839,0.999,0.77,0.96,1,0.29,1.26,0.51
scaffold_6,97456688,97457888,4.19,4.14,4.24,-0.1,0.841,0.999,20.31,11.48,21,16.16,11.58,29
scaffold_3,115678784,115680582,0.31,0.4,0.21,0.19,0.842,0.999,1.53,1.43,1,1.73,0.21,1.53
scaffold_5,10537219,10538419,2.13,2.04,2.21,-0.18,0.849,0.999,4.98,3.35,4,2.89,4.42,6.61
scaffold_6,74709772,74710972,-0.3,-0.42,-0.19,-0.23,0.851,0.999,0.77,0.48,1,0.87,1.26,0.51
scaffold_3,23679720,23680920,0.47,0.63,0.29,0.33,0.852,0.999,1.15,0.48,3,1.73,0.42,1.53
scaffold_5,10152343,10153543,0.51,0.42,0.59,-0.17,0.852,0.999,1.53,0.48,2,1.73,1.26,1.53
scaffold_1,64039952,64041152,0.32,0.45,0.17,0.29,0.852,0.999,1.15,0.96,2,0.58,1.26,1.53
scaffold_1,61138609,61139809,0.31,0.4,0.21,0.2,0.856,0.999,1.53,1.43,1,2.02,0.42,1.02
scaffold_3,59381448,59382648,-0.3,-0.14,-0.49,0.35,0.857,0.999,0.77,0.96,1,0.58,1.05,0.51
scaffold_1,64173361,64174561,1.3,1.23,1.37,-0.15,0.857,0.999,1.15,2.87,3,2.31,1.9,3.56
scaffold_5,60596436,60597636,-0.08,-0.19,0.03,-0.22,0.859,0.999,1.15,0.48,1,0.87,1.68,0.51
scaffold_2,65985022,65987338,0.28,0.45,0.09,0.36,0.86,0.999,1.15,0.96,2,0.58,2.11,0.51
scaffold_243,68940,70140,-0.36,-0.19,-0.54,0.35,0.861,0.999,1.15,0.48,1,0.29,1.26,0.51
scaffold_3,44793279,44794479,3.61,3.55,3.67,-0.11,0.861,0.999,15.33,12.91,7,14.72,14.74,8.65
scaffold_5,10444482,10445682,0.13,0.01,0.25,-0.24,0.862,0.999,1.53,0.48,1,0.87,1.68,1.02
scaffold_1,63052157,63053357,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_1,201454872,201456072,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_2,135760626,135762766,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_3,69112770,69113970,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_4,44345143,44347519,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_5,117371331,117372531,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_66,414888,416088,-0.58,-0.69,-0.49,-0.2,0.862,0.999,0.38,0.48,1,0.58,1.05,0.51
scaffold_1,63634564,63635764,1.2,1.31,1.08,0.23,0.863,0.999,1.53,1.91,4,2.31,1.47,2.54
scaffold_6,52185497,52186697,0.41,0.35,0.47,-0.12,0.863,0.999,0.38,1.43,2,1.15,1.47,1.53
scaffold_9,54038022,54039222,-0.07,-0.19,0.04,-0.23,0.864,0.999,1.15,0.48,1,1.73,0.84,0.51
scaffold_1,83061039,83062239,-0.29,-0.42,-0.18,-0.24,0.867,0.999,0.77,0.48,1,0.58,1.05,1.02
scaffold_6,58468442,58470220,0.63,0.74,0.5,0.24,0.868,0.999,1.53,0.48,3,0.87,0.84,2.54
scaffold_6,63057463,63059643,-0.01,-0.14,0.11,-0.25,0.868,0.999,0.77,0.96,1,2.02,0.21,1.02
scaffold_7,77526514,77527714,1.48,1.6,1.35,0.25,0.87,0.999,2.68,2.39,4,3.75,3.37,0.51
scaffold_1,37179178,37180378,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_1,86576333,86577533,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_10,26086149,26087891,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_2,75571895,75573095,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_2,90314398,90315598,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_2,116039556,116040756,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_2,131765107,131766307,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_3,24891303,24892503,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_5,7477864,7479559,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_6,41494745,41495945,-0.58,-0.69,-0.47,-0.22,0.872,0.999,0.38,0.48,1,1.44,0.21,0.51
scaffold_2,68640739,68641939,0.99,0.95,1.04,-0.1,0.874,0.999,2.3,0.48,3,3.18,1.47,1.53
scaffold_2,92678244,92679444,-0.31,-0.42,-0.22,-0.2,0.875,0.999,0.77,0.48,1,1.44,0.63,0.51
scaffold_5,21553059,21554259,-0.31,-0.42,-0.22,-0.2,0.875,0.999,0.77,0.48,1,1.44,0.63,0.51
scaffold_1,97747867,97749067,0.05,-0.09,0.17,-0.26,0.876,0.999,0.38,1.43,1,0.29,1.05,2.04
scaffold_6,61914198,61915398,0.19,0.01,0.36,-0.35,0.876,0.999,1.53,0.48,1,0.58,0.21,3.05
scaffold_6,48759274,48760474,-0.08,0.05,-0.23,0.28,0.876,0.999,1.15,0.96,1,0.58,1.47,0.51
scaffold_4,3486298,3487498,-0.33,-0.19,-0.49,0.3,0.879,0.999,1.15,0.48,1,0.58,1.05,0.51
scaffold_7,50493474,50494674,-0.33,-0.19,-0.49,0.3,0.879,0.999,1.15,0.48,1,0.58,1.05,0.51
scaffold_3,35590057,35591257,0.26,0.14,0.37,-0.23,0.881,0.999,0.38,1.91,1,0.58,1.26,2.04
scaffold_1,40590506,40592902,-0.21,-0.09,-0.35,0.26,0.882,0.999,0.38,1.43,1,0.29,1.05,1.02
scaffold_5,10023700,10024900,0.08,0.18,-0.02,0.2,0.883,0.999,1.92,0.48,1,2.02,0.42,0.51
scaffold_2,94057995,94060154,0.16,0.05,0.26,-0.21,0.884,0.999,1.15,0.96,1,1.73,0.84,1.02
scaffold_5,3888545,3889745,0.51,0.5,0.52,-0.02,0.884,0.999,0.77,0.48,3,1.73,1.05,1.53
scaffold_6,106399687,106401859,0.1,0.01,0.19,-0.19,0.885,0.999,1.53,0.48,1,1.44,1.47,0.51
scaffold_1,54019537,54020737,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_1,56385176,56386376,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_1,150807896,150809837,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_3,40736100,40737300,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_3,107443946,107446055,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_5,69982122,69983322,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_5,73339375,73341333,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_69,282918,284118,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_7,78116570,78117770,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_8,86026139,86027339,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_9,8701435,8702635,-0.61,-0.69,-0.54,-0.15,0.886,0.999,0.38,0.48,1,0.29,1.26,0.51
scaffold_3,33974481,33975681,0.53,0.42,0.63,-0.21,0.887,0.999,1.53,0.48,2,1.15,0.42,3.05
scaffold_4,59939269,59940469,-0.52,-0.36,-0.7,0.34,0.887,0.999,0.38,0.96,1,0.29,1.05,0.51
scaffold_4,107352147,107353347,-0.52,-0.36,-0.7,0.34,0.887,0.999,0.38,0.96,1,0.29,1.05,0.51
scaffold_44,557060,558260,-0.52,-0.36,-0.7,0.34,0.887,0.999,0.38,0.96,1,0.29,1.05,0.51
scaffold_9,79703827,79705027,-0.52,-0.36,-0.7,0.34,0.887,0.999,0.38,0.96,1,0.29,1.05,0.51
scaffold_2,91153940,91156432,1.66,1.6,1.71,-0.11,0.889,0.999,2.68,1.43,5,2.02,1.68,6.11
scaffold_5,10652843,10654043,3.58,3.63,3.53,0.1,0.889,0.999,9.2,10.04,18,10.68,9.27,14.76
scaffold_6,62011909,62013109,-0.05,-0.07,-0.03,-0.04,0.89,0.999,0.38,0.48,2,0.87,1.05,1.02
scaffold_1,137471833,137473033,-0.26,-0.07,-0.49,0.42,0.891,0.999,0.38,0.48,2,0.58,1.05,0.51
scaffold_7,61698789,61699989,-0.34,-0.42,-0.27,-0.15,0.893,0.999,0.77,0.48,1,0.29,1.68,0.51
scaffold_4,61340295,61342193,-0.11,-0.19,-0.04,-0.16,0.897,0.999,1.15,0.48,1,1.15,1.26,0.51
scaffold_5,102963838,102965038,-0.05,-0.14,0.04,-0.18,0.898,0.999,0.77,0.96,1,1.44,0.63,1.02
scaffold_9,44244528,44245728,0.18,0.26,0.1,0.15,0.901,0.999,1.15,1.43,1,1.15,1.05,1.02
scaffold_3,116329945,116332011,-0.22,-0.09,-0.35,0.26,0.904,0.999,0.38,1.43,1,0.58,1.26,0.51
scaffold_5,10031976,10034072,0.47,0.45,0.49,-0.04,0.905,0.999,1.15,0.96,2,2.02,1.68,0.51
scaffold_1,55061249,55062449,-0.55,-0.42,-0.7,0.28,0.91,0.999,0.77,0.48,1,0.29,1.05,0.51
scaffold_2,98187512,98188712,-0.55,-0.42,-0.7,0.28,0.91,0.999,0.77,0.48,1,0.29,1.05,0.51
scaffold_5,108646396,108648409,-0.55,-0.42,-0.7,0.28,0.91,0.999,0.77,0.48,1,0.29,1.05,0.51
scaffold_7,6703523,6705774,-0.55,-0.42,-0.7,0.28,0.91,0.999,0.77,0.48,1,0.29,1.05,0.51
scaffold_1,62144767,62146970,0.69,0.71,0.66,0.05,0.91,0.999,1.53,2.39,1,1.44,1.26,2.04
scaffold_5,10985846,10987046,1.07,1.04,1.09,-0.06,0.911,0.999,0.77,2.39,3,2.6,1.26,2.54
scaffold_1,64801576,64802776,0.18,0.27,0.08,0.19,0.911,0.999,1.15,0.48,2,1.44,0.21,1.53
scaffold_1,64888454,64889654,-0.01,-0.14,0.12,-0.26,0.911,0.999,0.77,0.96,1,0.29,0.42,2.54
scaffold_6,55724247,55725447,-0.05,-0.14,0.04,-0.18,0.911,0.999,0.77,0.96,1,0.29,1.26,1.53
scaffold_8,84614159,84616381,0.36,0.5,0.21,0.3,0.912,0.999,0.77,0.48,3,2.02,0.42,1.02
scaffold_1,96043279,96044479,2.42,2.39,2.45,-0.06,0.912,0.999,4.98,4.78,6,5.48,4.84,6.11
scaffold_1,88565669,88566869,1.24,1.31,1.17,0.14,0.92,0.999,1.53,1.91,4,1.73,1.47,3.56
scaffold_1,96370019,96371219,0.76,0.78,0.73,0.05,0.921,0.999,2.68,0.48,2,0.87,1.05,3.05
scaffold_1,89935511,89936711,-0.13,-0.19,-0.06,-0.13,0.921,0.999,1.15,0.48,1,1.73,0.63,0.51
scaffold_2,71132649,71134658,2.94,3,2.88,0.12,0.922,0.999,4.22,3.83,16,3.75,4.63,13.74
